ABCA1,ABCA7,ADAM17,ADAMTS1,ANK3,ANKH,APH1B,APOE,APP,ATP8B1,BACE1,BAG2,BDNF,BHLHE40,BIN1,CASP7,CD33,CD59,CEBPB,CLU,COX7C,CREB3L4,CX3CR1,DDIT4,DLGAP2,DNAJA1,DNAJB4,DNAJB6,DOC2A,EED,EGR1,EPDR1,FBXL7,FERMT2,FOXF1,GRID2,GRIN2B,HBP1,HS3ST2,HS3ST5,HSP90AA1,HSP90AB1,HSPA1L,HSPA8,HSPH1,IDUA,IER5,IL1B,IL34,INPP5D,JAZF1,LRIG1,MAPK14,MAPT,MINDY2,NCK2,NEAT1,NYAP1,PER1,PICALM,PILRA,PLCG2,PLD3,PRKD3,PRNP,PSEN2,PTK2B,PVR,RAB10,REST,RORB,SERTAD1,SHARPIN,SIRPA,SLC44A1,SNX1,SOD1,SORL1,SORT1,SPDYE3,SPI1,SPP1,SREBF1,TMEM41A,TNFRSF1A,TNIP1,TOMM40,TPCN1,TREM2,TSPAN14,TSPOAP1,TYROBP,USP6NL,WDR12,WDR81,ZBTB11,ZBTB7A,ZC3H10,ZCWPW1,ZNF184
0.519889582,0.565511268,0.573701233,0.51768248,0.649559172,0.385006345,0.524500827,0.563595578,0.685968962,0.508643276,0.331273132,0.545950929,0.701067454,0.466239997,0.391843861,0.412937519,0.561885028,0.40916011,0.584986339,0.651279186,0.457676354,0.366258272,0.562480183,0.465868514,0.406953922,0.763590161,0.499932176,0.614194252,0.62249229,0.564016016,0.705150307,0.479943636,0.515150243,0.57578238,0.563647136,0.623479909,0.546955981,0.402347448,0.478848613,0.391040749,0.565815573,0.577849983,0.556747966,0.653187149,0.568032276,0.557128848,0.574796699,0.541228905,0.492189142,0.504637476,0.4920608,0.45127259,0.400768676,0.410480649,0.488420014,0.509430155,0.487354537,0.561483535,0.674801314,0.560924613,0.532736516,0.623805935,0.619086765,0.621121312,0.627968519,0.471231346,0.571741992,0.625166991,0.489715035,0.494732708,0.499100383,0.476721426,0.464622165,0.559522288,0.506933222,0.48091029,0.583639325,0.572544851,0.462057824,0.519083135,0.420144388,0.456260381,0.443784161,0.54862043,0.472247187,0.356410552,0.524347096,0.328849226,0.505637728,0.591950962,0.58704569,0.555147121,0.428115086,0.597979886,0.406620868,0.434849631,0.547574742,0.429476689,0.322950257,0.663898949
0.469003345,0.621199566,0.472633955,0.394638197,0.263288611,0.817041844,0.415573946,0.386920445,0.518649315,0.595238582,0.2661275,0.394951771,0.439382542,0.81010813,0.457180199,0.567715028,0.40402678,0.683619832,0.619114526,0.33762295,0.415896986,0.478413351,0.218057509,0.582467693,0.606410877,0.151369557,0.505774276,0.3368965,0.233452891,0.550708522,0.851170686,0.360006882,0.431417001,0.350732046,0.573169188,0.293826171,0.274781843,0.643822806,0.325457784,0.635051733,0.379589509,0.268562898,0.465764952,0.585545634,0.248584691,0.476102808,0.745085315,0.355792418,0.325272816,0.727557239,0.404868984,0.576409927,0.63496504,0.491282685,0.540929736,0.757783855,0.656556448,0.456673433,0.696026016,0.403747767,0.676834195,0.236056691,0.35979952,0.49929473,0.251834612,0.645349632,0.56728909,0.751750113,0.494637103,0.395237434,0.753305412,0.647631721,0.437881065,0.480324216,0.484573448,0.516812185,0.21902072,0.457469208,0.616504821,0.526259778,0.473761832,0.499910773,0.56052598,0.509745369,0.345944977,0.597240222,0.498652086,0.812499631,0.228503466,0.573223958,0.456753214,0.193783452,0.686022735,0.439764403,0.52755075,0.43285395,0.676598599,0.617831971,0.467742155,0.415792897
0.516271575,0.399270738,0.414264264,0.443813912,0.656498317,0.364489778,0.520363785,0.547644795,0.714603509,0.578541179,0.38148517,0.630752095,0.613386196,0.288109834,0.554926444,0.448026697,0.539911351,0.404616901,0.49928763,0.61870744,0.437333932,0.4167558,0.596697712,0.353448694,0.471367426,0.71538098,0.523862065,0.567124468,0.593673921,0.488880845,0.527750858,0.420081795,0.575546893,0.611622503,0.485157513,0.658061414,0.594078924,0.470081846,0.489069949,0.418616055,0.61315245,0.592264432,0.514313649,0.544300389,0.538157504,0.505855168,0.386461557,0.66270107,0.54899729,0.532787903,0.599181047,0.447569945,0.578459356,0.446701647,0.43161374,0.440858575,0.479062328,0.524127165,0.476863983,0.515313474,0.512271249,0.670354876,0.502546635,0.678072761,0.634847277,0.534274996,0.52496487,0.457079098,0.470040457,0.51979196,0.461197657,0.349095719,0.486593052,0.623285506,0.450411313,0.504916115,0.562490625,0.326392824,0.392293531,0.541709441,0.542472693,0.412391541,0.493144153,0.48109219,0.59607934,0.216951006,0.362126339,0.341687363,0.521975774,0.473362425,0.621864791,0.538099066,0.45927345,0.474967463,0.428356587,0.375109909,0.360756019,0.56262938,0.364461986,0.581576127
0.50549339,0.413885416,0.41304731,0.438926667,0.615805166,0.444168511,0.481234231,0.635226847,0.516483378,0.494374186,0.418690821,0.462430631,0.568265939,0.455149225,0.48216592,0.494668088,0.432111198,0.458013584,0.499529182,0.526048003,0.54496441,0.551611078,0.548920911,0.558752008,0.592366395,0.478611693,0.53172115,0.534024935,0.640332702,0.56506296,0.442929808,0.529940793,0.470970326,0.480209537,0.428233453,0.553705922,0.633127951,0.396539216,0.582933391,0.386435128,0.411896442,0.477162944,0.458419837,0.461014154,0.557993448,0.501906839,0.530005314,0.512381924,0.584186633,0.424222938,0.584874526,0.483606905,0.570487683,0.641511642,0.32750867,0.498215861,0.402300796,0.546118365,0.504975554,0.436190112,0.436674809,0.497990834,0.603566545,0.482126002,0.617200784,0.494830401,0.480342566,0.504657479,0.54808846,0.47644363,0.584961397,0.511978647,0.499469559,0.54977047,0.488875756,0.418600613,0.424719569,0.543883701,0.457168058,0.373063025,0.385191291,0.506498458,0.528565988,0.479821411,0.679072002,0.472159427,0.534866788,0.492963257,0.358382649,0.534234056,0.629826192,0.513529491,0.49519766,0.498218755,0.519056468,0.534364347,0.499707658,0.497914883,0.535195941,0.541275124
0.843701529,0.558384788,0.512026417,0.463941936,0.758839725,0.131776398,0.822818267,0.913152724,0.604758658,0.399698473,0.525128529,0.453159624,0.777580752,0.186639677,0.678243901,0.502188107,0.498385971,0.642380155,0.241159996,0.600165038,0.302365728,0.622953954,0.682902852,0.742184452,0.25047384,0.474320487,0.390553345,0.374140749,0.311720332,0.342978946,0.329521519,0.578764736,0.631130867,0.858186541,0.655645126,0.681078015,0.44789577,0.557874646,0.281186762,0.343070383,0.809344237,0.519842979,0.33693077,0.676214179,0.205372867,0.666670803,0.0884009,0.825862092,0.396343001,0.489591693,0.283198588,0.721355968,0.189565473,0.461319763,0.564709498,0.285905216,0.47812844,0.577517347,0.253704945,0.553833496,0.544675065,0.63631714,0.304449041,0.705520181,0.26128375,0.458831273,0.430339953,0.508742777,0.578941551,0.80711217,0.163545111,0.595813284,0.500695425,0.491985597,0.451869315,0.710675444,0.436711827,0.194720081,0.397970875,0.393146887,0.490813833,0.621122219,0.808823651,0.33604999,0.519300918,0.388297629,0.385831202,0.619140718,0.585240014,0.171475425,0.551000074,0.749699842,0.551809347,0.264101986,0.450070876,0.251234578,0.432313771,0.540802402,0.428907061,0.511348017
0.415876337,0.639989793,0.530512665,0.465862962,0.369001365,0.639865137,0.444188313,0.29900655,0.520812159,0.52646355,0.580213927,0.505428822,0.363121414,0.705505773,0.583575358,0.369542225,0.418202546,0.651736303,0.469308891,0.552690256,0.577498872,0.495746148,0.281155401,0.462163694,0.445135373,0.514402775,0.539504871,0.5099004,0.432178353,0.4661976,0.51608217,0.680687729,0.445750274,0.378733124,0.69653607,0.495482729,0.321639527,0.484930558,0.789921595,0.793497538,0.703260839,0.593531876,0.447677422,0.613360447,0.561480519,0.435397567,0.455740459,0.373981071,0.41095881,0.321829655,0.420829993,0.439155919,0.421683454,0.381423594,0.657036168,0.547486943,0.568403657,0.445400318,0.407623854,0.521114943,0.486122572,0.335054731,0.445044879,0.423035258,0.384367142,0.599534084,0.539604852,0.525316412,0.659805894,0.432328504,0.32214634,0.608598601,0.577857539,0.449993878,0.513739961,0.561422181,0.612642612,0.651030193,0.706608379,0.504229717,0.513917908,0.697901897,0.412670764,0.502244168,0.518977974,0.687698311,0.561726005,0.492883505,0.400451709,0.205854419,0.306605074,0.336501167,0.571025071,0.583259615,0.510473549,0.428158113,0.56061587,0.54109138,0.613069303,0.41724297
0.46016212,0.573569564,0.47091459,0.368694995,0.463103621,0.604403789,0.348862339,0.475765509,0.549506527,0.564251964,0.521434214,0.419535366,0.514667519,0.628075629,0.482307229,0.467382507,0.458569631,0.451001511,0.46964314,0.635399792,0.604197748,0.514616148,0.417417132,0.446638766,0.600137249,0.673208803,0.491537528,0.683847955,0.662052487,0.681341466,0.474004871,0.543118821,0.444520686,0.349098509,0.648527909,0.442326475,0.458050307,0.438562361,0.665504075,0.663672232,0.612911395,0.566845127,0.495484878,0.541186936,0.68149691,0.472409291,0.531738236,0.401494566,0.581015176,0.518024731,0.651435211,0.471860023,0.582819941,0.512793037,0.537296788,0.632370832,0.508442406,0.450664914,0.49183933,0.449671829,0.512165102,0.551103355,0.650081724,0.46087974,0.668908731,0.502276473,0.650312428,0.468170671,0.634920983,0.464647121,0.440573626,0.449923578,0.479477169,0.577701994,0.556759424,0.473862226,0.633296039,0.768237269,0.608694997,0.571102198,0.502094768,0.558881826,0.387836813,0.567788387,0.507534801,0.529354878,0.572279841,0.415795524,0.432074631,0.38030722,0.424687559,0.400647103,0.442098226,0.568972955,0.490309489,0.544607383,0.518974865,0.501771581,0.614780579,0.427365136
0.490284382,0.641604441,0.481742756,0.60169292,0.520651868,0.469270996,0.494265622,0.506509842,0.647949874,0.678155673,0.592204013,0.457204361,0.483933369,0.528364896,0.535784484,0.34724939,0.572288108,0.339061605,0.642988056,0.644259474,0.413226773,0.57159244,0.44058651,0.538163384,0.455518151,0.734371819,0.408773093,0.674204507,0.583265447,0.607281361,0.562329432,0.500557727,0.514321806,0.465130876,0.639073358,0.495862765,0.4524244,0.525905914,0.563116718,0.559737479,0.569401656,0.532753647,0.559659905,0.501012797,0.508111843,0.540115685,0.491799764,0.631662439,0.543456585,0.626891963,0.438781924,0.52838905,0.408736938,0.479307782,0.586515066,0.523290114,0.636970556,0.504857846,0.700259581,0.593816958,0.639517326,0.602828236,0.564149907,0.570894079,0.613167067,0.523056268,0.602657542,0.54722473,0.633764248,0.557296896,0.525539759,0.512693012,0.640884356,0.56444347,0.635998889,0.618991927,0.672032797,0.715291349,0.646481265,0.573048548,0.618438105,0.587542022,0.496294014,0.501246185,0.650158722,0.525011197,0.586415688,0.4106102,0.621773314,0.444746662,0.431101815,0.589198623,0.482186448,0.53870548,0.616408304,0.490875668,0.529763462,0.577934183,0.493395251,0.552061481
0.458763286,0.615121453,0.486586283,0.566419848,0.488517306,0.497975417,0.43605949,0.548530215,0.593011086,0.662168452,0.590324162,0.392045835,0.500371628,0.540149465,0.586573756,0.460392283,0.591882916,0.368382831,0.586862164,0.650785725,0.430574505,0.588660053,0.444389414,0.513177547,0.498796722,0.6966681,0.375487569,0.653574381,0.595783298,0.608997349,0.545804918,0.45080099,0.527037266,0.481207342,0.692617582,0.485247261,0.40642879,0.51333187,0.569840338,0.630254296,0.571175095,0.544472564,0.562082582,0.513315208,0.521023024,0.49168028,0.480603637,0.545006377,0.502182045,0.645054295,0.517704836,0.533621817,0.435553795,0.459385121,0.595390861,0.526249704,0.608138389,0.514791726,0.602780773,0.503854837,0.610492547,0.606520841,0.58443405,0.554916598,0.631457666,0.557719444,0.593381635,0.456063369,0.582135648,0.555122998,0.447614286,0.484605484,0.63219732,0.563573162,0.611713508,0.555162577,0.652937682,0.662179769,0.654358718,0.652354544,0.654319549,0.622939238,0.532807213,0.519589417,0.635470129,0.557142009,0.542835648,0.468111733,0.572675134,0.439329333,0.474695195,0.57505358,0.378195387,0.580923627,0.584660515,0.504454483,0.524546975,0.624444638,0.505528515,0.504145642
0.617692342,0.571828881,0.538507201,0.300699798,0.123622324,0.956850384,0.520635348,0.512305373,0.573164007,0.573972402,0.196193937,0.469240237,0.261880348,0.940369082,0.367528911,0.656680156,0.320008334,0.746770377,0.727995103,0.229095509,0.460354456,0.633413788,0.349936206,0.422942757,0.72206977,0.165567427,0.607097758,0.423291496,0.058737831,0.63247812,0.948039847,0.503899111,0.421969876,0.35438623,0.537883457,0.380987003,0.361023146,0.815969569,0.292306469,0.745896657,0.426733297,0.149011076,0.471935179,0.812752368,0.301049563,0.534711126,0.905210813,0.223194554,0.281136535,0.784338143,0.343240975,0.561773726,0.621376356,0.34736005,0.591676158,0.948667695,0.684224091,0.276771862,0.854083452,0.441395129,0.761504388,0.638553149,0.327322463,0.79071413,0.198239345,0.517814289,0.769025942,0.736328376,0.340261497,0.379149895,0.943687169,0.657584698,0.525813852,0.306207021,0.544773001,0.631333397,0.353171965,0.609720272,0.68945058,0.425473748,0.454592119,0.446774355,0.526244886,0.565103032,0.313041028,0.761876951,0.514165923,0.809652049,0.322945698,0.614479627,0.222934208,0.310734431,0.847938519,0.541817323,0.604232655,0.459960075,0.87332571,0.70440578,0.293245204,0.353876864
